Ref,Val,Package,PosX,PosY,Rot,Side
"J4","to_car_1","SAMTEC_ESW-110-44-F-D",49.582000,23.326000,-90.000000,bottom
"J5","to_car_2","SAMTEC_ESW-110-44-F-D",41.182000,23.326000,-90.000000,bottom
"J6","to_car_3","SAMTEC_ESW-110-44-F-D",32.782000,23.326000,-90.000000,bottom
"R1","120R","R_1206_3216Metric",14.202500,48.667500,180.000000,bottom
"R2","120R","R_1206_3216Metric",14.202500,52.117500,0.000000,bottom
"R3","120R","R_1206_3216Metric",19.220000,52.130000,0.000000,bottom
"R4","120R","R_1206_3216Metric",19.220000,48.680000,180.000000,bottom
"U1","DG419LEDQ-T1-GE3","MSOP-8_3x3mm_P0.65mm",3.990000,50.180000,90.000000,bottom
"U2","DG419LEDQ-T1-GE3","MSOP-8_3x3mm_P0.65mm",8.990000,50.180000,90.000000,bottom
"D1","BAS40SDW","SOT-363_SC-70-6",14.242500,50.220000,-90.000000,top
"D2","BAS40SDW","SOT-363_SC-70-6",9.000000,50.210000,-90.000000,top
"D3","SMF16A","D_SOD-123",4.080000,50.202500,90.000000,top
"J1","to_EPS_1","Amphenol_10129381-920003BLF",19.582000,23.326000,90.000000,top
"J2","to_EPS_2","Amphenol_10129381-920003BLF",11.182000,23.326000,90.000000,top
"J3","to_ESP_3","Amphenol_10129381-920003BLF",2.782000,23.326000,90.000000,top
"J7","USB_C_Receptacle","GCT_USB4115-03-C_REVB4",-2.555000,46.930000,-90.000000,top
"J8","B2B_1","SAMTEC_TW-10-03-T-T-320-100",2.182000,41.326000,0.000000,top
"J9","B2B_2","SAMTEC_TW-10-03-T-T-320-100",2.182000,1.326000,0.000000,top
"J10","B2B_1","SAMTEC_TW-10-03-T-T-320-100",32.182000,41.326000,0.000000,top
"J11","B2B_2","SAMTEC_TW-10-03-T-T-320-100",32.182000,1.326000,0.000000,top
