Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2",SOT-363_SC-70-6,2,BAS40TW-AU,
D3,D_SOD-123,1,SMF16A,
J1,10129381-920003BLF,1,to_EPS_1,
"J10, J8",SAMTEC_TW-10-X-X-T-X-X,2,B2B_1,
"J11, J9",SAMTEC_TW-10-X-X-T-X-X,2,B2B_2,
J2,10129381-920003BLF,1,to_EPS_2,
J3,10129381-920003BLF,1,to_ESP_3,
J4,ESW-110-44-F-D,1,to_car_1,
J5,ESW-110-44-F-D,1,to_car_2,
J6,ESW-110-44-F-D,1,to_car_3,
J7,GCT_USB4115-03-C_REVB4,1,USB_C_Receptacle,
"R1, R2, R3, R4",1206,4,120R,
"U1, U2",MSOP-8_3x3mm_P0.65mm,2,DG419LEUA,
