Designator,Mid X,Mid Y,Rotation,Layer
D1,108.7425,-95.28,90.0,top
D2,103.5,-95.29,90.0,top
D3,98.58,-95.2975,90.0,top
J1,114.082,-122.174,90.0,top
J10,135.682,-102.174,0.0,top
J11,135.682,-142.174,0.0,top
J2,105.682,-122.174,90.0,top
J3,97.282,-122.174,90.0,top
J4,144.082,-122.174,270.0,bottom
J5,135.682,-122.174,270.0,bottom
J6,127.282,-122.174,270.0,bottom
J7,91.945,-98.57,270.0,top
J8,105.682,-102.174,0.0,top
J9,105.682,-142.174,0.0,top
R1,108.7025,-96.8325,0.0,bottom
R2,108.7025,-93.3825,180.0,bottom
R3,113.72,-93.37,180.0,bottom
R4,113.72,-96.82,0.0,bottom
U1,98.49,-95.32,0.0,bottom
U2,103.49,-95.32,0.0,bottom
